name,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y
Xuemin Wang,1059,1004,9,9,8,8
Dustin Simon,1048,686,13,12,13,13
Xinya Du,1043,1042,9,9,9,9
Feng Zhao,1042,375,9,9,9,9
Julia Bykova,1034,858,11,10,11,11
heather hayenga,1029,646,16,13,18,15
Jorge Cobb,1018,157,18,7,32,5
Yaoyu Li,1014,365,9,8,9,8
Ishwarya Sankaranarayanan,1002,951,14,14,15,15
Rongchun Ge,997,826,12,11,17,14
Timothy Bray,991,322,4,3,3,3
Zhong Zhou,988,727,13,11,21,14
Haim Schweitzer,987,229,15,8,19,7
Charles Bambach,982,365,10,5,10,4
Berrak Sisman,981,980,17,17,28,28
Mohsen Yarmohammadi,976,938,20,19,41,38
Chandan Karadagur Ananda Reddy,976,972,14,14,17,17
Daniel R Hulsey,971,832,10,10,10,10
Jean francois Veyan,952,622,15,13,22,17
Joseph S. Friedman,947,850,18,17,28,25
Chen Luxi,931,654,10,10,11,11
farid khafizov,929,131,15,7,19,4
Wei-Che Tseng,900,309,15,10,15,10
Amelia J. (McFarland) Balmain,886,800,14,13,15,14
Wooram Park,881,349,15,9,15,7
Greg Mordi,878,508,11,8,12,8
William J. Pervin,875,185,10,7,11,6
T. H. Brikowski,874,356,12,7,12,6
Robert Steininger,867,650,6,6,5,5
Weina Peng,847,465,14,10,15,10
Madhushree Munsi,844,598,11,10,12,12
Yunhui Guo,838,836,9,9,8,7
Eric Kildebeck,837,723,12,10,12,10
Xiangqing Jia,837,728,11,11,11,11
Lloyd Dumas,834,133,17,5,28,2
Edson V Perez,825,457,8,6,8,4
Fei Yang,820,806,17,17,28,28
Waseem Abbas,818,672,16,14,28,21
Yangchun Fu,818,486,12,12,13,12
Michael Hasler,815,725,9,9,9,9
Sunyoung Shin,814,805,7,7,6,6
Gitogo Churu,809,371,9,9,9,9
Lei Jiang,809,238,13,8,13,8
"Andrea D. Ruiz, M.S.",807,693,10,10,10,10
Sheena D'Arcy,793,557,13,12,15,15
Rasoul Yousefi,790,543,12,12,15,12
June Bryan de la Pena,790,657,16,14,33,28
"Peer Azmat Shah, Ph.D.",788,714,11,10,13,10
Matthew McDonough,787,690,10,7,10,5
Wei Li,786,785,17,17,25,25
Russell Stoneback,783,521,15,12,25,19
Xiuying Li,782,609,11,11,12,11
Ali Ahmadi,779,619,9,9,8,7
Shiyi Wei,775,688,11,10,11,10
James Harrington,759,572,8,8,8,8
Lowell Waite,757,286,11,8,13,8
Darshan Sapkota,756,443,14,11,15,13
Nikki Delk,755,406,12,11,12,11
Rodney Andrews,752,555,12,11,13,12
Dawn Owens,743,312,12,7,12,5
daniel wickberg,740,334,7,6,7,5
Isaac Persing,732,604,11,10,11,10
Jin Ryong Kim,728,466,13,12,18,16
Ifana Mahbub,720,683,14,13,18,17
Zhong Wang,717,687,8,8,8,8
"Ge,Xiaoqian",713,602,14,14,16,15
Ming Dong Gu,713,354,14,8,20,7
Wen Cai,706,532,13,11,15,12
Hedieh Torabifard,701,662,9,9,9,9
Atanu Lahiri,700,533,15,14,17,14
john Wiorkowski,692,77,10,4,13,3
Mark Thouin,678,430,8,7,5,5
Kerrianne E. Morrison,678,673,11,11,11,11
Matthew Gardner,678,672,12,12,16,16
Md. Yousuf Ali,677,650,9,9,9,9
Kuei Sun,672,475,18,13,20,14
Maria Loumioti,663,564,9,9,9,9
Fatemeh Hassanipour,659,575,12,11,13,11
Clark A Meyer,659,300,12,10,13,10
Kathleen McNeeley Myers,658,221,6,6,6,6
Jyoti R. Misra,658,519,5,5,4,4
Asli Leblebicioglu,657,332,10,9,10,8
Steven Chong Xiao,645,561,9,9,8,8
Juan Pablo Oviedo,639,618,7,7,5,5
Shaobo Li,639,636,8,8,8,8
Alva Tang,639,625,15,15,22,22
Mehrdad Heydarzadeh,633,621,14,14,15,15
Nicholas Dillon,631,573,11,11,12,11
Mehmet U S Ayvaci,630,480,13,12,17,14
"Habte G Woldu, Ph.D.",622,427,8,5,7,5
Michael Andrew Luzuriaga,621,621,13,13,14,14
Nina Baranchuk,616,338,9,5,7,5
Mohammed AbdelWahab,611,592,10,10,10,10
Nhat Lam,605,311,8,6,6,2
Christian P Rivera,600,390,6,6,5,5
Akash Laturia,589,584,6,6,3,2
Yune S. Lee,579,390,12,12,13,12
Adrienne L. McLean,578,189,12,8,14,5
Nilesh Agalave,577,475,10,10,10,10
Bin Hu,568,488,11,10,12,10
Matthew Q Hill,567,535,9,9,9,9
Amena L T Khan,564,134,6,5,6,5
Reza Lotfian,561,499,14,12,15,13
Kyle Fox,560,440,15,13,21,18
Edward J Harpham,554,136,11,4,13,3
Sergey Cheshkov,553,341,12,9,12,9
Chung Hwan Kim,548,524,10,10,11,11
Ashley M. Lakoduk,548,420,6,6,6,6
Hejian Xiong,545,515,13,12,13,12
Tzu-Fang Lou,545,394,11,9,12,9
Elizabeth A.M. Searing,539,493,9,9,8,8
Jeliza S. Bonso,538,364,7,6,7,6
Stephen Perkins,538,133,5,2,4,2
Filippo Romiti,537,485,11,11,11,11
Nathan Williams,527,350,12,11,14,12
Jeffrey B Word,525,225,6,5,5,3
Irina Panovska,522,401,9,8,9,8
Justin Koeln,515,430,13,11,17,14
Desiree R Jones,515,513,12,12,12,12
Jing Xu,511,508,9,9,9,9
Arif Malik,511,357,12,11,16,13
Vanessa Meyer,510,316,10,10,10,10
Katherine E. Washington,510,433,13,13,17,17
Ignacio Pujana,499,280,13,8,13,7
Holly Ruhl,498,396,9,9,8,7
Yangzi Zheng（郑杨子）,496,437,12,12,14,14
Kianoosh Yousefi,491,451,12,12,12,12
Jonathan Y. Tsou,489,314,11,10,14,10
Harpreet Singh,489,363,7,7,7,7
Dr. Anirban Paul,484,479,14,13,15,15
Arkadeep Mitra,484,476,3,3,2,2
Bhadrachalam Chitturi,475,317,13,10,18,14
Yuanjun Bi,474,342,12,10,12,10
Jiacheng Huang,465,340,8,7,8,7
V Challagulla,463,158,6,3,5,2
Sathyanarayanan Sridhar,463,417,10,10,10,10
Armin Zare,458,428,12,12,15,14
Tomoki Ohsawa,453,270,12,10,16,12
Badrinath Jagannath,452,445,12,12,14,14
Michael Neugent,450,447,8,8,7,7
Qiwei Li,448,342,11,11,12,12
G. D. Surabhi,446,445,9,9,9,9
Qinyi Zhou,446,376,6,6,6,6
Holly Kosiewicz,445,389,12,11,13,11
"John R. McCaskill, Jr.",441,247,6,6,6,6
Nanxiang Li,432,331,9,8,9,6
Shivesh Ranjan,430,293,14,13,14,13
Saeed Mazrouei Sebdani,429,257,6,6,6,5
Xuan Hu,422,422,11,11,12,12
